Url,Image,Name,Price
https://diwanegypt.com/product/land-of-giants-oracle-deck-42-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646712052-450x600.jpg,Land of Giants Oracle Deck (42-Card Deck & Guidebook),"EGP1,380.00"
https://diwanegypt.com/product/pathwork-oracle-40-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646712007-450x600.jpg,Pathwork Oracle (40-Card Deck & Guidebook),"EGP1,020.00"
https://diwanegypt.com/product/caticorn-tarot-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711970-450x600.jpg,Caticorn Tarot (78-Card Deck & Guidebook),"EGP1,500.00"
https://diwanegypt.com/product/tarot-of-harts-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711956-450x600.jpg,Tarot of H’Arts (78-Card Deck & Guidebook),"EGP2,100.00"
https://diwanegypt.com/product/curious-travels-tarot-deck-79-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711949-450x600.jpg,Curious Travels Tarot Deck (79-Card Deck & Guidebook),"EGP1,740.00"
https://diwanegypt.com/product/black-seed-tarot-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711871-450x600.jpg,Black Seed Tarot (78-Card Deck & Guidebook),"EGP1,380.00"
https://diwanegypt.com/product/star-maiden-tarot-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711758-450x600.jpg,Star Maiden Tarot (78-Card Deck & Guidebook),"EGP1,800.00"
https://diwanegypt.com/product/totem-guardians-oracle-deck-42-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711734-450x600.jpg,Totem Guardians Oracle Deck (42-Card Deck & Guidebook),"EGP1,020.00"
https://diwanegypt.com/product/wisdom-of-the-wild-things-oracle-45-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711628-450x600.jpg,Wisdom of the Wild Things Oracle (45-Card Deck & Guidebook),"EGP1,620.00"
https://diwanegypt.com/product/the-secret-oracle-of-the-green-witch-50-card-deck-guidebo/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711482-450x600.jpg,The Secret Oracle of the Green Witch (50-Card Deck & Guidebo,"EGP1,440.00"
https://diwanegypt.com/product/heavenly-angel-oracle-deck-50-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711468-450x600.jpg,Heavenly Angel Oracle Deck (50-Card Deck & Guidebook),"EGP1,440.00"
https://diwanegypt.com/product/practical-magic-an-oracle-for-everyday-enchantment-36-card/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711413-450x600.jpg,Practical Magic: An Oracle for Everyday Enchantment (36-Card,"EGP2,280.00"
https://diwanegypt.com/product/astro-cards-oracle-deck-43-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711376-450x600.jpg,Astro-Cards Oracle Deck (43-Card Deck & Guidebook),"EGP1,980.00"
https://diwanegypt.com/product/oracle-of-destiny-50-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711345-450x600.jpg,Oracle of Destiny (50-Card Deck & Guidebook),"EGP1,440.00"
https://diwanegypt.com/product/woven-spirit-oracle-52-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711321-450x600.jpg,Woven Spirit Oracle (52-Card Deck & Guidebook),"EGP1,380.00"
https://diwanegypt.com/product/the-one-world-tarot-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711307-450x600.jpg,The One World Tarot (78-Card Deck & Guidebook),"EGP1,920.00"
https://diwanegypt.com/product/talisman-oracle-44-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646711284-450x600.jpg,Talisman Oracle (44-Card Deck & Guidebook),"EGP1,440.00"
https://diwanegypt.com/product/heavenly-bloom-tarot-deck-78-card-deck-guidebook/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646710751.jpg,Heavenly Bloom Tarot Deck (78-Card Deck & Guidebook),"EGP1,620.00"
https://diwanegypt.com/product/pegasus-oracle-affirmations-and-guidance-to-uplift-your-spi/,https://diwanegypt.com/wp-content/uploads/2024/11/9781646710270-450x600.jpg,Pegasus Oracle: Affirmations and Guidance to Uplift Your Spi,"EGP1,560.00"
https://diwanegypt.com/product/does-it-hurt/,https://diwanegypt.com/wp-content/uploads/2024/11/9781638932499-450x600.jpg,Does It Hurt?,"EGP1,075.00"
https://diwanegypt.com/product/human-machine-reimagining-work-in-the-age-of-ai/,https://diwanegypt.com/wp-content/uploads/2024/11/9781633693869-450x600.jpg,Human + Machine: Reimagining Work in the Age of AI,"EGP1,920.00"
https://diwanegypt.com/product/hbr-guide-to-delivering-effective-feedback-hbr-guide-series/,https://diwanegypt.com/wp-content/uploads/2024/11/9781633691643-450x600.jpg,HBR Guide to Delivering Effective Feedback (HBR Guide Series,"EGP1,320.00"
https://diwanegypt.com/product/classics-collection-marrakech-flair/,https://diwanegypt.com/wp-content/uploads/2024/11/9781614289616-450x600.jpg,Classics Collection: Marrakech Flair,"EGP6,300.00"
https://diwanegypt.com/product/classics-collection-amalfi-coast/,https://diwanegypt.com/wp-content/uploads/2024/11/9781614289197-450x600.jpg,Classics Collection: Amalfi Coast,"EGP6,300.00"
https://diwanegypt.com/product/how-to-be-an-adult-in-love-letting-love-in-safely-and-showi/,https://diwanegypt.com/wp-content/uploads/2024/11/9781611800814-450x600.jpg,How to Be an Adult in Love: Letting Love in Safely and Showi,"EGP1,075.00"
https://diwanegypt.com/product/linchpin-are-you-indispensable/,https://diwanegypt.com/wp-content/uploads/2024/11/9781591844099-450x600.jpg,Linchpin: Are You Indispensable?,"EGP1,020.00"
